,0
125,MCMPR_2021_PAN_KELLOGGS_PRINGLES_SEASONAL_VERANOX2_CLAROMOBILE_EVENINGME_CPM-CLAROMOBILE
126,MCMPR_2021_PAN_KELLOGGS_PRINGLES_SEASONAL_VERANOX2_SIZMEK_EVENINGME_CPCV-ADMAZING
127,MCMPR_2021_PAN_KELLOGGS_PRINGLES_SEASONAL_VERANOX2_SPOTIFY_EVENINGME_CPCV-SPOTIFY
128,MCMPR_2021_PRI_KELLOGGS_PRINGLES_SEASONAL_MEGHAN_SIZMEK_EVENINGME_CPV-CONNECTEDTV
129,MCMPR_2021_PRI_KELLOGGS_PRINGLES_SEASONAL_MEGHAN_SPOTIFY_EVENINGME_CPCV-SPOTIFY
130,MCMCO_2020_COL_KELLOGGS_CHOCOKRISPIS_SEASONAL_EXPERIENCIACHOCOKRISPIS_SIZMEK_FAMILYBREAKFAST_CPM-TAPTAP-DISPLAY-RICHMEDIA
131,MCMCO_2020_COL_KELLOGGS_CHOCOKRISPIS_SEASONAL_EXPERIENCIACHOCOKRISPIS_SIZMEK_FAMILYBREAKFAST_CPM-XAXIS-DISPLAY-STANDARDBANNER
132,MCMCO_2020_COL_KELLOGGS_CHOCOKRISPIS_SEASONAL_EXPERIENCIACHOCOKRISPIS_SIZMEK_FAMILYBREAKFAST_CPV-SPOTIFY-DISPLAY-SPONSOREDPLAYLIST
133,MCMCO_2020_COL_KELLOGGS_CHOCOKRISPIS_SEASONAL_EXPERIENCIACHOCOKRISPIS_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-DISPLAY-VIDEO
134,MCMCO_2020_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_INSERTOS2_SIZMEK_BREAKFASTFORONE_CPM-TAPTAP-DISPLAY-RICHMEDIA
135,MCMCO_2020_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_INSERTOS2_SIZMEK_BREAKFASTFORONE_CPM-XAXIS-DISPLAY
136,MCMCO_2020_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_INSERTOS2_SIZMEK_BREAKFASTFORONE_CPV-XAXIS-VIDEO
137,MCMCO_2020_COL_KELLOGGS_EXTRA_SEASONAL_EXTRA_SIZMEK_BREAKFASTFORONE_CPM-DUNNHUMBY-DISPLAY
138,MCMCO_2020_COL_KELLOGGS_FROOTLOOPS_SEASONAL_FROOTLOOPSJUMBO_SIZMEK_FAMILYBREAKFAST_CPM-TAPTAP-DISPLAY-RICHMEDIA
139,MCMCO_2020_COL_KELLOGGS_FROOTLOOPS_SEASONAL_FROOTLOOPSJUMBO_SIZMEK_FAMILYBREAKFAST_CPM-XAXIS-DISPLAY
140,MCMCO_2020_COL_KELLOGGS_MASTERBRAND_SEASONAL_HEALTYKIDS_SIZMEK_FAMILYBREAKFAST_CPM-XAXIS–DISPLAY
141,MCMCO_2020_COL_KELLOGGS_PRINGLES_SEASONAL_ARMALARUMBA_SIZMEK_EVENINGME_CPC-TAPTAP-DISPLAY-STANDARBANNER
142,MCMCO_2020_COL_KELLOGGS_PRINGLES_SEASONAL_ARMALARUMBA_SIZMEK_EVENINGME_CPM-TAPTAP-DISPLAY-RICHMEDIA
143,MCMCO_2020_COL_KELLOGGS_PRINGLES_SEASONAL_ARMALARUMBA_SIZMEK_EVENINGME_CPM-TAPTAP-DISPLAY-STANDARBANNER
144,MCMCO_2020_COL_KELLOGGS_PRINGLES_SEASONAL_ARMALARUMBA_SIZMEK_EVENINGME_CPM-XAXIS-DISPLAY
145,MCMCO_2020_COL_KELLOGGS_PRINGLES_SEASONAL_ARMALARUMBA_SIZMEK_EVENINGME_CPV-XAXIS-VIDEO
146,MCMCO_2020_COL_KELLOGGS_PRINGLES_SEASONAL_PRINGLESWAVY_SIZMEK_BREAKFASTFORONE_CPM-XAXIS-DISPLAY
147,MCMCO_2021_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_SIZMEK_BREAKFASTFORONE_CPM-AUDIO
148,MCMCO_2021_COL_KELLOGGS_HEALTHYKIDS_SEASONAL_HEALTHYKIDSGRANOLA_SIZMEK_FAMILYBREAKFAST_CPM-DUNNHUMBY-DISPLAY
149,MCMCO_2021_COL_KELLOGGS_HEALTHYKIDS_SEASONAL_HEALTHYKIDSGRANOLA_SIZMEK_FAMILYBREAKFAST_CPM-DUNNHUMBY-STANDARDBANNER
150,MCMCO_2021_COL_KELLOGGS_HEALTHYKIDS_SEASONAL_HEALTHYKIDSGRANOLA_SIZMEK_FAMILYBREAKFAST_CPM-KIDSCORP
151,MCMCO_2021_COL_KELLOGGS_HEALTHYKIDS_SEASONAL_HEALTHYKIDSGRANOLA_SIZMEK_FAMILYBREAKFAST_CPM-XAXIS-STANDARDBANNERS
152,MCMCO_2021_COL_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_SIZMEK_EVENINGME_CPC-TAPTAP-STANDARDBANNER
153,MCMCO_2021_COL_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_SIZMEK_EVENINGME_CPM-SPOTIFY-AUDIOAD
154,MCMCO_2021_COL_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_SIZMEK_EVENINGME_CPM-XAXIS-STANDARDBANNER
155,MCMCO_2021_COL_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_SIZMEK_EVENINGME_CPV-XAXIS-VIDEO
156,MCMCO_2021_COL_KELLOGGS_ZUCARITAS_SEASONAL_PURAGARRA_SIZMEK_FAMILYBREAKFAST_CPM-CARTOONNETWORK
157,MCMCO_2021_COL_KELLOGGS_ZUCARITAS_SEASONAL_PURAGARRA_SIZMEK_FAMILYBREAKFAST_CPM-NICKELODEON
158,MCMCO_2021_COL_KELLOGGS_ZUCARITAS_SEASONAL_PURAGARRA_SIZMEK_FAMILYBREAKFAST_CPM-TAPTAP-RICHMEDIA
159,MCMCO_2021_COL_KELLOGGS_ZUCARITAS_SEASONAL_PURAGARRA_SIZMEK_FAMILYBREAKFAST_CPM-XAXIS-STANDARDBANNERS
160,MCMCO_2021_COL_KELLOGGS_ZUCARITAS_SEASONAL_PURAGARRA_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO
161,MCMMIA_2020_CRI_Kelloggs_Pringles_Seasonal_AlwaysOn_Sizmek_EveningMe_CPM-Xaxis-Video
162,MCMMIA_2020_MEX_Kelloggs_Pringles_Seasonal_AlwaysOn_Sizmek_EveningMe_CPM-Xaxis-Video
163,MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_PromoXbox_Sizmek_EveningMe_CPM-Spotify-VideoTakeOver
164,MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_PromoXbox_Sizmek_EveningMe_CPM-Xaxis-StandardBanner
165,MCMMIA_2021_CHL_Kelloggs_Masterbrand_Seasonal_DespiertaMuchoMas_Sizmek_BreakfastforOne_CPCV-Xaxis-Video
166,MCMMIA_2021_CHL_Kelloggs_Masterbrand_Seasonal_DespiertaMuchoMas_Sizmek_BreakfastforOne_CPM-Xaxis-ScrollReactive
167,MCMMX_2020_MEX_KELLOGGS_CHOCOKRISPIS_SEASONAL_EQUITY_SIZMEK_FAMILYBREAKFAST_CPCV-XAXISPRE-ROLL
168,MCMMX_2020_MEX_KELLOGGS_CHOCOKRISPIS_SEASONAL_EQUITY_SIZMEK_FAMILYBREAKFAST_CPM-XAXIS-STANDARDBANNERS
169,MCMMX_2020_MEX_KELLOGGS_CHOCOKRISPIS_SEASONAL_M&MS_SIZMEK_FAMILYBREAKFAST_CPCV-SUNMEDIA
170,MCMMX_2020_MEX_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_CRAYOLA_SIZMEK_FAMILY BREAKFAST_CPM-XAXIS-STANDARDBANNERS
171,MCMMX_2020_MEX_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_GANAPREMIOS_SIZMEK_FAMILYBREAKFAST_CPM-XAXIS-STANDARDBANNERS
172,MCMMX_2020_MEX_KELLOGGS_EXTRA_SEASONAL_EXTRA_SIZMEK_BREAKFASTFORONE_CPM-XAXISRICHMEDIA
173,MCMMX_2020_MEX_KELLOGGS_EXTRA_SEASONAL_EXTRA_SIZMEK_BREAKFASTFORONE_CPM-XAXIS-STANDARDBANNERS
174,MCMMX_2020_MEX_KELLOGGS_MASTERBRAND_SEASONAL_ALLOCCASIONS_SIZMEK_BREAKFASTFORONE_CPM-XAXIS-STANDARDBANNERS
175,MCMMX_2020_MEX_KELLOGGS_MASTERBRAND_SEASONAL_COOKIESKIDS_SIZMEK_MID-MORNINGSNACK_CPM-XAXIS-STANDARDBANNERS
176,MCMMX_2020_MEX_KELLOGGS_MASTERBRAND_SEASONAL_CORONAVIRUS_SIZMEK_BREAKFASTFORONE_CPCV-XAXIS-VIDEO
177,MCMMX_2020_MEX_KELLOGGS_MASTERBRAND_SEASONAL_CORONAVIRUS_SIZMEK_BREAKFASTFORONE_CPM-XAXIS-STANDARDBANNERS
178,MCMMX_2020_MEX_KELLOGGS_MASTERBRAND_SEASONAL_EMBAJADORES_SIZMEK_BREAKFASTFORONE_CPEC-XAXISSPOTIFY
179,MCMMX_2020_MEX_KELLOGGS_MASTERBRAND_SEASONAL_EMBAJADORES_SIZMEK_BREAKFASTFORONE_CPM-XAXIS-STANDARDBANNERS
180,MCMMX_2020_MEX_KELLOGGS_POPTARTS_SEASONAL_UGLYSWEATER_SIZMEK_MID-MORNINGSNACK_CPM-XAXIS-STANDARDBANNERS
181,MCMMX_2020_MEX_KELLOGGS_PRINGLES_SEASONAL_ALWAYSONGAMING_SIZMEK_EVENINGME_CPCV-IMS-EA
182,MCMMX_2020_MEX_KELLOGGS_PRINGLES_SEASONAL_ALWAYSONGAMING_SIZMEK_EVENINGME_CPM-GAMELOFT
183,MCMMX_2020_MEX_KELLOGGS_PRINGLES_SEASONAL_XMASPROMOMUSIC_SIZMEK_EVENINGME_CPCV-SUNMEDIA
184,MCMMX_2020_MEX_KELLOGGS_PRINGLES_SEASONAL_XMASPROMOMUSIC_SIZMEK_EVENINGME_CPCV-XAXISSPOTIFY
185,MCMMX_2020_MEX_KELLOGGS_PRINGLES_SEASONAL_XMASPROMOMUSIC_SIZMEK_EVENINGME_CPEC-XAXISSPOTIFY
186,MCMMX_2020_MEX_KELLOGGS_SPECIALK_SEASONAL_ORIGINAL_SIZMEK_BREAKFASTFORONE_CPC-XAXIS-STANDARDBANNERS
187,MCMMX_2020_MEX_KELLOGGS_SPECIALK_SEASONAL_ORIGINAL_SIZMEK_BREAKFASTFORONE_CPM-XAXISSOCIALNATIVE
188,MCMMX_2020_MEX_KELLOGGS_ZUCARITAS_SEASONAL_EQUITY_SIZMEK_FAMILY BREAKFAST_CPM-XAXIS-STANDARDBANNERS
189,MCMMX_2021_MEX_KELLOGGS_CHOCOKRISPIS_SEASONAL_ALOGRANDE_SIZMEK_FAMILYBREAKFAST_CPCV-XAXISPRE-ROLL
190,MCMMX_2021_MEX_KELLOGGS_CHOCOKRISPIS_SEASONAL_ALOGRANDE_SIZMEK_FAMILYBREAKFAST_CPM-XAXIS-STANDARDBANNERS
191,MCMMX_2021_MEX_KELLOGGS_MASTERBRAND_SEASONAL_ALWAYSCLOSETOYOU_SIZMEK_FAMILYBREAKFAST_CPM-XAXIS-STANDARDBANNERS
192,MCMMX_2021_MEX_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTAMUCHOMAS_SIZMEK_BREAKFASTFORONE_CPM-XAXIS-STANDARDBANNERS
193,MCMMX_2021_MEX_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTAMUCHOMAS_SIZMEK_BREAKFASTFORONE_CPV-XAXISPRE-ROLL
194,MCMMX_2021_MEX_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_SIZMEK_EVENINGME_CPCV-XAXISPRE-ROLL
195,MCMMX_2021_MEX_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_SIZMEK_EVENINGME_CPCV-XAXISPRE-ROLL
196,MCMMX_2021_MEX_KELLOGGS_ZUCARITAS_SEASONAL_PURAGARRA_SIZMEK_FAMILYBREAKFAST_CPM-XAXIS-STANDARDBANNERS
197,MCMPR_2020_BHS_KELLOGGS_RICEKRISPIES_SEASONAL_RICEKRISPIESTREAT_SIZMEK_AFTERNOONSNACK_CPCV-EIKON
198,MCMPR_2020_CENAM_KELLOGGS_RICEKRISPIES_SEASONAL_AMORPARALLEVAR_SIZMEK_MID-MORNINGSNACK_CPV-SEVERAL-VIDEO
199,MCMPR_2020_CENAM_KELLOGGS_ZUCARITAS_SEASONAL_RECREATE_SIZMEK_FAMILY BREAKFAST_CPV-SEVERAL-VIDEO
200,MCMPR_2020_CRI_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO
201,MCMPR_2020_CRI_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_CRAYOLA_SIZMEK_FAMILYBREAKFAST_CPM-XAXIS-DISPLAY
202,MCMPR_2020_CRI_KELLOGGS_FROOTLOOPS_SEASONAL_FROOTLOOPSJUMBO_SIZMEK_MID-MORNINGSNACK_CPV-XAXIS-VIDEO
203,MCMPR_2020_CRI_KELLOGGS_KOMPLETE_SEASONAL_KOMPLETE_SIZMEK_FAMILYBREAKFAST_CPM-EIKON-DISPLAY
204,MCMPR_2020_CRI_KELLOGGS_KOMPLETE_SEASONAL_KOMPLETE_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO
205,MCMPR_2020_CRI_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTAMUCHOMAS_SIZMEK_BREAKFASTFORONE_CPV-XAXIS-VIDEO
206,MCMPR_2020_CRI_KELLOGGS_PRINGLES_SEASONAL_DESTAPAYGANA_SIZMEK_EVENINGME_CPM-XAXIS-DISPLAY
207,MCMPR_2020_CRI_KELLOGGS_RICEKRISPIES_SEASONAL_AMORPARALLEVAR_SIZMEK_MID-MORNINGSNACK_CPCV-EIKON
208,MCMPR_2020_CRI_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_SIZMEK_MID-MORNINGSNACK_CPCV-XAXIS-VIDEO
209,MCMPR_2020_CRI_KELLOGGS_SPECIALK_SEASONAL_REPOSICIONAMIENTO_SIZMEK_BREAKFASTFORONE_CPM-EIKON
210,MCMPR_2020_CRI_KELLOGGS_SPECIALK BARS_SEASONAL_HOMEOFFICE_SIZMEK_MID-MORNINGSNACK_CPCV-EIKON
211,MCMPR_2020_CRI_KELLOGGS_SPECIALK BARS_SEASONAL_RECOVERYPLAN_SIZMEK_AFTERNOONSNACK_CPCV-EIKON
212,MCMPR_2020_DOM_KELLOGGS_FROOTLOOPS_SEASONAL_FROOTLOOPSJUMBO_SIZMEK_MID-MORNINGSNACK_CPV-XAXIS-VIDEO
213,MCMPR_2020_DOM_KELLOGGS_PRINGLES_SEASONAL_DESTAPAYGANA_SIZMEK_EVENINGME_CPM-XAXIS-DISPLAY
214,MCMPR_2020_GTM_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO
215,MCMPR_2020_GTM_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_CRAYOLA_SIZMEK_FAMILYBREAKFAST_CPM-XAXIS-DISPLAY
216,MCMPR_2020_GTM_KELLOGGS_FROOTLOOPS_SEASONAL_FROOTLOOPSJUMBO_SIZMEK_MID-MORNINGSNACK_CPV-XAXIS-VIDEO
217,MCMPR_2020_GTM_KELLOGGS_KOMPLETE_SEASONAL_KOMPLETE_SIZMEK_FAMILYBREAKFAST_CPM-EIKON-DISPLAY
218,MCMPR_2020_GTM_KELLOGGS_KOMPLETE_SEASONAL_KOMPLETE_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO
219,MCMPR_2020_GTM_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTAMUCHOMAS_SIZMEK_BREAKFASTFORONE_CPV-XAXIS-VIDEO
220,MCMPR_2020_GTM_KELLOGGS_PRINGLES_SEASONAL_DESTAPAYGANA_SIZMEK_EVENINGME_CPM-XAXIS-DISPLAY
221,MCMPR_2020_GTM_KELLOGGS_RICEKRISPIES_SEASONAL_AMORPARALLEVAR_SIZMEK_MID-MORNINGSNACK_CPCV-EIKON
222,MCMPR_2020_GTM_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_SIZMEK_MID-MORNINGSNACK_CPCV-XAXIS-VIDEO
223,MCMPR_2020_GTM_KELLOGGS_SPECIALK_SEASONAL_REPOSICIONAMIENTO_SIZMEK_BREAKFASTFORONE_CPM-EIKON
224,MCMPR_2020_GTM_KELLOGGS_SPECIALK_SEASONAL_REPOSICIONAMIENTO_SIZMEK_BREAKFASTFORONE_CPM-SEVERAL-DISPLAY
225,MCMPR_2020_GTM_KELLOGGS_SPECIALK BARS_SEASONAL_HOMEOFFICE_SIZMEK_MID-MORNINGSNACK_CPCV-EIKON
226,MCMPR_2020_HND_KELLOGGS_MASTERBRAND_SEASONAL_MAIZENA_SIZMEK_BREAKFASTFORONE_CPM-EIKON
227,MCMPR_2020_HND_KELLOGGS_MASTERBRAND_SEASONAL_MAIZENA_SIZMEK_BREAKFASTFORONE_CPM-XAXIS-DISPLAY
228,MCMPR_2020_JAM_KELLOGGS_CHEEZIT_SEASONAL_CHEEZIT_SIZMEK_AFTERNOONSNACK_CPCV-ADMAZING
229,MCMPR_2020_JAM_KELLOGGS_RICEKRISPIES_SEASONAL_RICEKRISPIESTREAT_SIZMEK_AFTERNOONSNACK_CPCV-EIKON
230,MCMPR_2020_NIC_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTAMUCHOMAS_SIZMEK_BREAKFASTFORONE_CPV-XAXIS-VIDEO
231,MCMPR_2020_PAN_KELLOGGS_FROOTLOOPS_SEASONAL_FROOTLOOPSJUMBO_SIZMEK_MID-MORNINGSNACK_CPV-XAXIS-VIDEO
232,MCMPR_2020_PAN_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTAMUCHOMAS_SIZMEK_BREAKFASTFORONE_CPV-XAXIS-VIDEO
233,MCMPR_2020_PAN_KELLOGGS_PRINGLES_SEASONAL_DESTAPAYGANA_SIZMEK_EVENINGME_CPM-XAXIS-DISPLAY
234,MCMPR_2020_PRI_KELLOGGS_SPECIALK_SEASONAL_REPOSICIONAMIENTO_SIZMEK_BREAKFASTFORONE_CPM-XAXIS-DISPLAY
235,MCMPR_2020_SLV_KELLOGGS_CHOCOKRISPIS_SEASONAL_REFORMULACION_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO-NOV-DIC
236,MCMPR_2020_SLV_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO
237,MCMPR_2020_SLV_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_CRAYOLA_SIZMEK_FAMILYBREAKFAST_CPM-XAXIS-DISPLAY
238,MCMPR_2020_SLV_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTAMUCHOMAS_SIZMEK_BREAKFASTFORONE_CPV-XAXIS-VIDEO
239,MCMPR_2021_CRI_KELLOGGS_KOMPLETE_SEASONAL_KOMPLETE_SIZMEK_BREAKFASTFORONE_CPV-XAXIS-VIDEO
240,MCMPR_2021_CRI_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTAMUCHOMAS_SIZMEK_BREAKFASTFORONE_CPV-XAXIS-VIDEO
241,MCMPR_2021_CRI_KELLOGGS_PRINGLES_SEASONAL_VERANOX2_SIZMEK_EVENINGME_CPM-XAXIS-DISPLAY
242,MCMPR_2021_CRI_KELLOGGS_PRINGLES_SEASONAL_VERANOX2_XAXISPUSHNOTIFICATIONADS_EVENINGME_CPC-XAXISPUSHNOTIFICATIONADS
243,MCMPR_2021_CRI_KELLOGGS_ZUCARITAS_SEASONAL_PURAGARRA_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO
244,MCMPR_2021_DOM_KELLOGGS_PRINGLES_SEASONAL_VERANOX2_SIZMEK_EVENINGME_CPM-XAXIS-DISPLAY
245,MCMPR_2021_DOM_KELLOGGS_PRINGLES_SEASONAL_VERANOX2_XAXISPUSHNOTIFICATIONADS_EVENINGME_CPC-XAXISPUSHNOTIFICATIONADS
246,MCMPR_2021_GTM_KELLOGGS_CHOCOKRISPIS_SEASONAL_ALOGRANDE_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO
247,MCMPR_2021_GTM_KELLOGGS_KOMPLETE_SEASONAL_KOMPLETE_SIZMEK_BREAKFASTFORONE_CPV-XAXIS-VIDEO
248,MCMPR_2021_GTM_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTAMUCHOMAS_SIZMEK_BREAKFASTFORONE_CPV-XAXIS-VIDEO
249,MCMPR_2021_GTM_KELLOGGS_PRINGLES_SEASONAL_VERANOX2_SIZMEK_EVENINGME_CPM-XAXIS-DISPLAY
250,MCMPR_2021_GTM_KELLOGGS_PRINGLES_SEASONAL_VERANOX2_XAXISPUSHNOTIFICATIONADS_EVENINGME_CPC-XAXISPUSHNOTIFICATIONADS
251,MCMPR_2021_PAN_KELLOGGS_KOMPLETE_SEASONAL_KOMPLETE_SIZMEK_BREAKFASTFORONE_CPV-XAXIS-VIDEO
252,MCMPR_2021_PAN_KELLOGGS_PRINGLES_SEASONAL_VERANOX2_SIZMEK_EVENINGME_CPM-XAXIS-DISPLAY
253,MCMPR_2021_PAN_KELLOGGS_PRINGLES_SEASONAL_VERANOX2_XAXISPUSHNOTIFICATIONADS_EVENINGME_CPC-XAXISPUSHNOTIFICATIONADS
254,MCMPR_2021_PAN_KELLOGGS_ZUCARITAS_SEASONAL_PURAGARRA_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO
255,MCMPR_2021_PRI_KELLOGGS_KOMPLETE_SEASONAL_KOMPLETE_SIZMEK_BREAKFASTFORONE_CPM-XAXIS-DISPLAY
256,MCMPR_2021_PRI_KELLOGGS_PRINGLES_SEASONAL_MEGHAN_SIZMEK_EVENINGME_CPCV-ADMAZING
257,MCMPR_2021_PRI_KELLOGGS_PRINGLES_SEASONAL_MEGHAN_SIZMEK_EVENINGME_CPCV-XAXIS-VIDEO
258,MCMPR_2021_SLV_KELLOGGS_CHOCOKRISPIS_SEASONAL_ALOGRANDE_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO
259,MCMPR_2021_SLV_KELLOGGS_KOMPLETE_SEASONAL_KOMPLETE_SIZMEK_BREAKFASTFORONE_CPV-XAXIS-VIDEO
260,MCMPR_2021_SLV_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTAMUCHOMAS_SIZMEK_BREAKFASTFORONE_CPV-XAXIS-VIDEO
261,<undefined>
262,
